trial,finger,markerPos,correctResp,complex_block_loop.thisRepN,complex_block_loop.thisTrialN,complex_block_loop.thisN,complex_block_loop.thisIndex,thisRow.t,notes,Trigger.started,text_2.started,key_resp_4.started,mouse.started,image.started,text_4.started,Trigger.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,complex_block.started,index2.started,middle2.started,ring2.started,little2.started,key_resp.started,marker.started,complex_block.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,Session,Subject,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,0.006605124974157661,0.029059791995678097,0.029059791995678097,0.006620541971642524,0.029059791995678097,0.029059791995678097,12.476709834008943,1,12.419501541007776,None,,,,,,,,,,,,,,,,,,1,,2023-09-20_11h50.20.463,Motor_Task,2023.2.2,None,2023-09-20 11h50.39.100960 -0700,
,,,,,,,,,,,,,,,,,,,,-0.03945578231292517,0.2928870292887029,0,0,0,,,,,,,,,,,,,1,,2023-09-20_11h50.20.463,Motor_Task,2023.2.2,None,2023-09-20 11h50.39.100960 -0700,
1,M,"[-0.15, 0.1]",2.0,0,0,0,0,12.49407545896247,,,,,,,,,,,,,,,,,12.488140416971873,12.49407545896247,12.49407545896247,12.49407545896247,12.49407545896247,0.01140845799818635,12.61483562499052,13.224775874987245,2,0,0.7331322489771992,None,1,,2023-09-20_11h50.20.463,Motor_Task,2023.2.2,None,2023-09-20 11h50.39.100960 -0700,
2,R,"[0.2, -0.05]",3.0,0,1,1,1,13.230204416962806,,,,,,,,,,,,,,,,,13.225491958961356,13.230204416962806,13.230204416962806,13.230204416962806,13.230204416962806,0.0003067910438403487,13.363443334004842,13.716812416969333,3,0,0.4888589580077678,None,1,,2023-09-20_11h50.20.463,Motor_Task,2023.2.2,None,2023-09-20 11h50.39.100960 -0700,
3,M,"[-0.15, 0.1]",2.0,0,2,2,2,13.726339959015604,,,,,,,,,,,,,,,,,13.717845709004905,13.726339959015604,13.726339959015604,13.726339959015604,13.726339959015604,0.0006966660148464143,13.858060124970507,14.226789083972108,2,0,0.4992030409630388,None,1,,2023-09-20_11h50.20.463,Motor_Task,2023.2.2,None,2023-09-20 11h50.39.100960 -0700,
4,R,"[0.2, -0.05]",3.0,0,3,3,3,14.235998958989512,,,,,,,,,,,,,,,,,14.227964416961186,14.235998958989512,14.235998958989512,14.235998958989512,14.235998958989512,0.0007786249625496566,14.376261833996978,14.666298749973066,3,0,0.43285508296685293,None,1,,2023-09-20_11h50.20.463,Motor_Task,2023.2.2,None,2023-09-20 11h50.39.100960 -0700,
5,I,"[-0.5, -0.1]",1.0,0,4,4,4,14.676053542003501,,,,,,,,,,,,,,,,,14.667431749985553,14.676053542003501,14.676053542003501,14.676053542003501,14.676053542003501,0.0009200419881381094,14.808528249966912,15.175693166966084,1,0,0.5064799999818206,None,1,,2023-09-20_11h50.20.463,Motor_Task,2023.2.2,None,2023-09-20 11h50.39.100960 -0700,
6,I,"[-0.5, -0.1]",1.0,0,5,5,5,15.184648041962646,,,,,,,,,,,,,,,,,15.176962166966405,15.184648041962646,15.184648041962646,15.184648041962646,15.184648041962646,0.0008664579945616424,15.317185958963819,15.726428083959036,1,0,0.547029749955982,None,1,,2023-09-20_11h50.20.463,Motor_Task,2023.2.2,None,2023-09-20 11h50.39.100960 -0700,
7,R,"[0.2, -0.05]",3.0,0,6,6,6,15.742182791989762,,,,,,,,,,,,,,,,,15.727685833990108,15.742182791989762,15.742182791989762,15.742182791989762,15.742182791989762,0.0008588330238126218,15.866893625003286,16.18345762498211,3,0,0.45331483299378306,None,1,,2023-09-20_11h50.20.463,Motor_Task,2023.2.2,None,2023-09-20 11h50.39.100960 -0700,
8,M,"[-0.15, 0.1]",2.0,0,7,7,7,16.196365209005307,,,,,,,,,,,,,,,,,16.184545083960984,16.196365209005307,16.196365209005307,16.196365209005307,16.196365209005307,0.0007027499959804118,16.333204833965283,16.675395708996803,2,0,0.4834372920449823,None,1,,2023-09-20_11h50.20.463,Motor_Task,2023.2.2,None,2023-09-20 11h50.39.100960 -0700,
,,,,,,,,16.687862499966286,,,,,,,,,,,,,,,,,16.67684004199691,16.687862499966286,16.687862499966286,16.687862499966286,16.687862499966286,0.0009578749886713922,16.816292834002525,,,,,,,,,,,,,
